"feature","id","fc","pval","qval","tname"
"gene","MSTRG.12387",0.192619220686255,2.68185789131792e-08,0.000139912216054287,"MSTRG.12387.1"
"gene","MSTRG.19192",0.189025348360866,5.09059907560783e-08,0.000139912216054287,"FBtr0073511"
"gene","MSTRG.5294",0.557910067622236,5.62649662416703e-08,0.000139912216054287,"FBtr0452136"
"gene","MSTRG.10171",5.23316666359633,4.37742415648756e-07,0.000756224697825714,"MSTRG.10171.1"
"gene","MSTRG.9688",0.176749502446467,5.76819815356622e-07,0.000756224697825714,"FBtr0076559"
"gene","MSTRG.580",7.31940246373431,6.1046162502798e-07,0.000756224697825714,"MSTRG.580.1"
"gene","MSTRG.10065",0.174138102280438,7.64683563581059e-07,0.000756224697825714,"FBtr0076209"
"gene","MSTRG.11939",0.225433009589124,8.10964823405591e-07,0.000756224697825714,"FBtr0345397"
"gene","MSTRG.3587",0.235689425346827,2.13504191126646e-06,0.00173889171185859,"MSTRG.3587.3"
"gene","MSTRG.4470",7.08598543050066,2.33095403734396e-06,0.00173889171185859,"MSTRG.4470.1"
"gene","MSTRG.17400",0.394859360935887,4.38507105926522e-06,0.00289050122036024,"MSTRG.17400.1"
"gene","MSTRG.575",1.42511752808148,4.64959981827384e-06,0.00289050122036024,"MSTRG.575.1"
"gene","MSTRG.35",5.72921092449219,6.44036232788636e-06,0.0036218450265304,"MSTRG.35.1"
"gene","MSTRG.12185",4.08628135912801,7.24069120661142e-06,0.0036218450265304,"MSTRG.12185.1"
"gene","MSTRG.12186",4.08743177286231,7.28253021420322e-06,0.0036218450265304,"MSTRG.12186.1"
"gene","MSTRG.20876",0.405347838415022,8.41589482802885e-06,0.00392391096356845,"MSTRG.20876.1"
"gene","MSTRG.230",0.210957988455699,1.10039645165871e-05,0.00482879854669059,"MSTRG.230.1"
"gene","MSTRG.13625",0.357689510156782,1.32240076158308e-05,0.00548061648967208,"FBtr0082098"
"gene","MSTRG.8036",0.274170327680814,1.48394382447625e-05,0.00553471833093704,"MSTRG.8036.1"
"gene","MSTRG.5250",0.460254752638982,1.50387804876972e-05,0.00553471833093704,"MSTRG.5250.1"
"gene","MSTRG.14209",1.35616637272247,1.59760171197787e-05,0.00553471833093704,"MSTRG.14209.2"
"gene","MSTRG.21174",4.17463756411047,1.70400681793748e-05,0.00553471833093704,"MSTRG.21174.1"
"gene","MSTRG.21173",4.17381626885092,1.70641449881437e-05,0.00553471833093704,"MSTRG.21173.1"
"gene","MSTRG.6139",3.37053812926579,1.90822578804983e-05,0.00569663765616769,"FBtr0087453"
"gene","MSTRG.14903",0.735064173624615,1.95124569114524e-05,0.00569663765616769,"FBtr0083509"
"gene","MSTRG.21188",1.95771464800457,1.98542331180107e-05,0.00569663765616769,"MSTRG.21188.1"
"gene","MSTRG.18092",2.50405126339197,2.09893963798446e-05,0.00579929248124597,"MSTRG.18092.1"
"gene","MSTRG.905",0.24625979033703,2.33492171983762e-05,0.00622089858213881,"MSTRG.905.1"
"gene","MSTRG.9149",0.265144483732258,2.63700807265899e-05,0.00673655378845406,"FBtr0077090"
"gene","MSTRG.13629",0.145876444896402,2.70906988811825e-05,0.00673655378845406,"MSTRG.13629.1"
"gene","MSTRG.13836",0.455989187653661,3.10921220240123e-05,0.00748216871932684,"FBtr0082324"
